Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,Turkish,Hindi,Arabic,Bengali
TUT_S4,"All necessary equipments are set up and refreshed each round.
Fell free to choose any weapons in the shop.","所有必要的裝備每輪都會設定並刷新。
您可以自由選擇商店中的任何武器。","อุปกรณ์ที่จำเป็นทั้งหมดจะถูกติดตั้งและรีเฟรชใหม่ทุกรอบ
เลือกอาวุธใดก็ได้ในร้าน","Mọi trang bị cần thiết đã có và được làm mới mỗi trận đấu.
Lựa chọn bất kỳ loại súng nào trong Cửa hàng.","Semua perlengkapan yang diperlukan disiapkan dan diperbarui setiap ronde.
Silakan pilih senjata apa pun di toko.","Todos os equipamentos necessários são configurados e atualizados a cada rodada.
Sinta-se à vontade para escolher qualquer arma na loja.",Todo el equipo necesario se instala y se renueva en cada ronda. Elige cualquier arma en la tienda.,"Всё необходимое снаряжение устанавливается и обновляется каждый раунд.
Выбирайте любое оружие в магазине.","Tout l'équipement nécessaire est installé et renouvelé à chaque tour.
N'hésitez pas à choisir vos armes dans la boutique.","Gerekli tüm ekipmanlar her turda kurulur ve yenilenir.
Dükkandan dilediğiniz silahı seçebilirsiniz.","सभी ज़रूरी उपकरण हर राउंड में तैयार और ताज़ा किए जाते हैं।
आप दुकान में से कोई भी हथियार चुनने के लिए स्वतंत्र हैं।",يتم تجهيز جميع المعدات اللازمة وتحديثها في كل جولة. اختر أي سلاح من المتجر.,"সমস্ত প্রয়োজনীয় সরঞ্জাম সেট আপ করা হয় এবং প্রতি রাউন্ডে রিফ্রেশ করা হয়।
দোকানে কোন অস্ত্র চয়ন বিনামূল্যে পড়ে."
TUT_S5,Good Luck!,祝你好運！,ขอให้โชคดี!,Chúc May Mắn!,Semoga beruntung!,Boa sorte!,¡Buena suerte!,Удачи!,Bonne chance!,İyi şanlar!,आपको कामयाबी मिले!,حظ سعيد!,শুভকামনা!
STAGE_1,Clock Tower,鐘樓,หอนาฬิกา,Tháp Đồng Hồ,Menara Jam,Torre do Relógio,Torre del Reloj,Часовая башня,Tour de l'Horloge,Saat Kulesi,घंटाघर,برج الساعة,ক্লক টাওয়ার
STAGE_2,Graveyard,墓園,สุสาน,Nghĩa Địa,Makam,Cemitério,Cementerio,Кладбище,Cimetière,Mezarlık,कब्रिस्तान,مقبرة,কবরস্থান
STAGE_3,Peak,頂峰,จุดสูงสุด,Cổng Trời,Puncak,Pico,Cima,Пик,Culminer,Doruğa ulaşmak,चोटी,قمة,পিক
STAGE_4,Hangar,機庫,โรงเก็บเครื่องบิน,Doanh Trại,Hanggar,Hangar,Hangar,Ангар,Hangar,Hangar,हैंगर,حظيرة,হ্যাঙ্গার
STAGE_5,Katulistiwa,卡圖利斯蒂瓦,คาทูลิสทิวา,Làng Thông,Katulistiwa,Katulistiwa,Katulistiwa,Катулистива,Katulistiwa,Katulistiwa,कटुलिस्टिवा,كاتوليستيوا,কাতুলিস্তিওয়া
STAGE_6,Observatory,天文台,หอสังเกตการณ์,Đài Quan Sát,Observatorium,Observatório,Observatorio,Обсерватория,Observatoire,Gözlemevi,बेधशाला,المرصد,মানমন্দির
STAGE_7,Mill,磨,โรงสี,Kho Quân Sự,Pabrik,Moinho,Molino,Мельница,Moulin,Değirmen,चक्की,مطحنة,মিল
STAGE_8,Shipyard,船廠,อู่ต่อเรือ,Cảng Biển,Galangan kapal,Estaleiro,Astillero,Верфь,Chantier naval,Tersane,शिपयार्ड,حوض بناء السفن,শিপইয়ার্ড
STAGE_9,Cape Town,開普敦,เคปทาวน์,Thành Phố Biển,Kota Tanjung,Cidade do Cabo,Ciudad del Cabo,Кейптаун,Le Cap,Cape Town,केप टाउन,كيب تاون,কেপ টাউন
STAGE_10,Cape Town,開普敦,เคปทาวน์,Thành Phố Biển,Kota Tanjung,Cidade do Cabo,Ciudad del Cabo,Кейптаун,Le Cap,Cape Town,केप टाउन,كيب تاون,কেপ টাউন
STAGE_11,Bimasakti Shop,比馬薩克蒂商店,ร้านบิมาสักติ,Thung Lũng,Toko Bimasakti,Loja Bimasakti,Tienda Bimasakti,Магазин Бимасакти,Boutique Bimasakti,Bimasakti Mağazası,बीमाशक्ति शॉप,متجر بيماساكتي,বিমাশক্তির দোকান
MULTI_SCBOARD_KILL,Kills,擊殺數,ฆ่า,Hạ gục,Membunuh,Mata,Mata,Убийств,Tue,Öldürür,हत्या,يقتل,হত্যা করে
MULTI_SCBOARD_DEATH,Deaths,死亡人數,ผู้เสียชีวิต,Nằm xuống,Meninggal,Mortes,Fallecidos,Летальные исходы,Décès,Ölümler,मौतें,حالات الوفاة,মৃত্যু
MULTI_SCBOARD_DMG,Damage,損害,ความเสียหาย,Sát thương,Kerusakan,Dano,Daño,Повреждать,Dommage,Zarar,हानि,ضرر,ক্ষতি
SHOP_TITLE_RIFLE,Rifles,步槍,ปืนไรเฟิล,Súng trường,Pasukan penembak,Rifles,Rifles,Винтовки,Fusils,Tüfekler,राइफल,بنادق,রাইফেলস
SHOP_TITLE_SHOTGUN,Shotguns,霰彈槍,ปืนลูกซอง,Súng shotgun,Senapan,Espingardas,Escopetas,Дробовики,Fusils de chasse,Av tüfekleri,बंदूकें,بنادق الصيد,শটগান
SHOP_TITLE_SMG,SMGs,衝鋒槍,ปืนกลมือ,Súng tiểu liên,Senjata mesin ringan,Submetralhadoras,Subfusiles,пистолеты-пулеметы,mitraillettes,Hafif makineli tüfekler,एसएमजी,رشاشات رشاشة صغيرة,এসএমজি
SHOP_TITLE_SNIPER,Snipers,狙擊手,สไนเปอร์,Súng ngắm,Penembak jitu,Atiradores de elite,Francotiradores,Снайперы,tireurs d'élite,Keskin nişancılar,स्नाइपर्स,قناصة,স্নাইপার
FULL_SCBOARD_TARGET,Booyah Target: 3,布亞目標：3,บูย่า เป้าหมาย: 3,Mục tiêu Booyah: 3,Target Booyah: 3,Booyah Alvo: 3,Booyah Objetivo: 3,Цель Буя: 3,Cible Booyah : 3,Booyah Hedefi: 3,बूया लक्ष्य: 3,هدف بويا: 3,বুয়াঃ টার্গেটঃ 3
GAMEINFO_WELCOME_TEXT,Last Safe Zone,最後的安全區,โซนปลอดภัยสุดท้าย,Đại Chiến Bo Cuối,Zona Aman Terakhir,Última Zona Segura,Última zona segura,Последняя безопасная зона,Dernière zone de sécurité,Son Güvenli Bölge,अंतिम सुरक्षित क्षेत्र,آخر منطقة آمنة,শেষ নিরাপদ অঞ্চল
SHOP_OTHER,Other,其他,อื่น,Khác,lain,outro,otro,другой,autre,diğer,अन्य,آخر,অন্য
